央视频道,#genre#
CCTV1,http://116.234.101.217:4022/rtp/239.45.3.145:5140
CCTV1,http://114.100.195.67:4022/rtp/238.1.78.166:7200
CCTV1,http://171.113.216.147:4022/rtp/239.254.96.96:8550
CCTV1,http://171.213.148.5:8188/udp/239.93.0.184:5140
CCTV1,http://175.15.56.109:4022/udp/239.76.253.151:9000
CCTV1,http://175.15.56.109:4022/udp/239.76.251.87:9000
CCTV1,http://175.15.56.109:4022/udp/239.76.246.151:1234
CCTV1,http://106.116.243.22:9999/rtp/239.254.200.45:8008
CCTV1,http://111.226.232.90:10010/rtp/239.254.200.45:8008
CCTV1,http://115.171.216.80:4000/rtp/225.1.8.1:8008
CCTV1,http://115.171.216.80:4000/rtp/225.1.8.33:8002
CCTV1,http://115.171.216.80:4000/rtp/225.1.8.53:8060
CCTV1,http://115.171.216.80:4000/rtp/225.1.8.81:8176
CCTV1,http://115.171.216.80:4000/rtp/225.1.8.126:8002
CCTV1,http://115.171.216.80:4000/rtp/225.1.8.194:4120
CCTV1,http://115.171.216.80:4000/rtp/225.1.8.210:8068
CCTV1,http://114.241.214.121:4022/rtp/239.3.1.129:8008
CCTV1,http://121.29.141.59:4022/rtp/239.253.92.83:8012
CCTV1,http://117.174.25.254:8188/rtp/239.0.0.10:5140
CCTV2,http://116.234.101.217:4022/rtp/239.45.3.208:5140
CCTV2,http://114.100.195.67:4022/rtp/238.1.78.235:7752
CCTV2,http://171.113.216.147:4022/rtp/239.69.1.102:10250
CCTV2,http://171.213.148.5:8188/udp/239.93.1.23:6000
CCTV2,http://175.15.56.109:4022/udp/239.76.253.152:9000
CCTV2,http://175.15.56.109:4022/udp/239.76.246.152:1234
CCTV2,http://106.116.243.22:9999/rtp/239.254.200.158:6000
CCTV2,http://111.226.232.90:10010/rtp/239.254.200.158:6000
CCTV2,http://115.171.216.80:4000/rtp/225.1.8.2:8084
CCTV2,http://114.241.214.121:4022/rtp/239.3.1.60:8084
CCTV2,http://121.29.141.59:4022/rtp/239.253.92.190:6065
CCTV2,http://117.174.25.254:8188/rtp/239.0.0.11:5140
CCTV3,http://116.234.101.217:4022/rtp/239.45.1.68:5140
CCTV3,http://114.100.195.67:4022/rtp/238.1.78.170:7232
CCTV3,http://171.113.216.147:4022/rtp/239.69.1.122:10370
CCTV3,http://171.213.148.5:8188/udp/239.93.1.11:2223
CCTV3,http://175.15.56.109:4022/udp/239.76.253.153:9000
CCTV3,http://175.15.56.109:4022/udp/239.76.246.153:1234
CCTV3,http://106.116.243.22:9999/rtp/239.254.201.152:7205
CCTV3,http://111.226.232.90:10010/rtp/239.254.201.152:7205
CCTV3,http://115.171.216.80:4000/rtp/225.1.8.88:8000
CCTV3,http://114.241.214.121:4022/rtp/239.3.1.172:8001
CCTV3,http://121.29.141.59:4022/rtp/239.253.92.191:6057
CCTV3,http://117.174.25.254:8188/rtp/239.0.0.12:5140
CCTV4,http://116.234.101.217:4022/rtp/239.45.0.2:5140
CCTV4,http://114.100.195.67:4022/rtp/238.1.78.236:7760
CCTV4,http://171.113.216.147:4022/rtp/239.69.1.138:10466
CCTV4,http://171.213.148.5:8188/udp/239.93.1.105:5140
CCTV4,http://175.15.56.109:4022/udp/239.76.253.154:9000
CCTV4,http://175.15.56.109:4022/udp/239.76.246.154:1234
CCTV4,http://175.15.56.109:4022/udp/239.76.245.195:1234
CCTV4,http://106.116.243.22:9999/rtp/239.254.200.190:6307
CCTV4,http://111.226.232.90:10010/rtp/239.254.200.190:6307
CCTV4,http://115.171.216.80:4000/rtp/225.1.8.4:8092
CCTV4,http://114.241.214.121:4022/rtp/239.3.1.105:8092
CCTV4,http://121.29.141.59:4022/rtp/239.253.92.251:6141
CCTV4,http://117.174.25.254:8188/rtp/239.0.0.13:5140
CCTV4欧洲,http://171.113.216.147:4022/rtp/239.69.1.231:11028
CCTV4欧洲,http://175.15.56.109:4022/udp/239.76.253.95:9000
CCTV4欧洲,http://175.15.56.109:4022/udp/239.76.246.95:1234
CCTV4欧洲,http://106.116.243.22:9999/rtp/239.254.201.205:4220
CCTV4欧洲,http://111.226.232.90:10010/rtp/239.254.201.205:4220
CCTV4欧洲,http://114.241.214.121:4022/rtp/239.3.1.213:4220
CCTV4欧洲,http://121.29.141.59:4022/rtp/239.253.93.192:6370
CCTV4美洲,http://171.113.216.147:4022/rtp/239.69.1.232:11034
CCTV4美洲,http://175.15.56.109:4022/udp/239.76.253.96:9000
CCTV4美洲,http://175.15.56.109:4022/udp/239.76.246.96:1234
CCTV4美洲,http://106.116.243.22:9999/rtp/239.254.201.206:4220
CCTV4美洲,http://111.226.232.90:10010/rtp/239.254.201.206:4220
CCTV4美洲,http://114.241.214.121:4022/rtp/239.3.1.214:4220
CCTV4美洲,http://121.29.141.59:4022/rtp/239.253.93.193:6371
CCTV5,http://116.234.101.217:4022/rtp/239.45.1.69:5140
CCTV5,http://114.100.195.67:4022/rtp/238.1.78.171:7240
CCTV5,http://171.113.216.147:4022/rtp/239.69.1.123:10376
CCTV5,http://171.213.148.5:8188/udp/239.93.42.37:5140
CCTV5,http://175.15.56.109:4022/udp/239.76.253.155:9000
CCTV5,http://175.15.56.109:4022/udp/239.76.254.214:9000
CCTV5,http://175.15.56.109:4022/udp/239.76.246.155:1234
CCTV5,http://106.116.243.22:9999/rtp/239.254.201.153:7206
CCTV5,http://111.226.232.90:10010/rtp/239.254.201.153:7206
CCTV5,http://115.171.216.80:4000/rtp/225.1.8.89:8000
CCTV5,http://114.241.214.121:4022/rtp/239.3.1.173:8001
CCTV5,http://121.29.141.59:4022/rtp/239.253.92.181:6046
CCTV5,http://117.174.25.254:8188/rtp/239.0.0.14:5140
CCTV5+,http://114.100.195.67:4022/rtp/238.1.78.237:7768
CCTV5+,http://171.113.216.147:4022/rtp/239.254.96.234:9484
CCTV5+,http://171.213.148.5:8188/udp/239.93.1.36:8004
CCTV5+,http://175.15.56.109:4022/udp/239.76.253.168:9000
CCTV5+,http://175.15.56.109:4022/udp/239.76.251.88:9000
CCTV5+,http://175.15.56.109:4022/udp/239.76.254.215:9000
CCTV5+,http://175.15.56.109:4022/udp/239.76.246.168:1234
CCTV5+,http://106.116.243.22:9999/rtp/239.254.200.46:8004
CCTV5+,http://111.226.232.90:10010/rtp/239.254.200.46:8004
CCTV5+,http://115.171.216.80:4000/rtp/225.1.8.20:8004
CCTV5+,http://114.241.214.121:4022/rtp/239.3.1.130:8004
CCTV5+,http://121.29.141.59:4022/rtp/239.253.92.82:8013
CCTV5+,http://117.174.25.254:8188/rtp/239.0.0.22:5140
CCTV6,http://116.234.101.217:4022/rtp/239.45.1.70:5140
CCTV6,http://114.100.195.67:4022/rtp/238.1.78.172:7248
CCTV6,http://171.113.216.147:4022/rtp/239.69.1.124:10382
CCTV6,http://171.213.148.5:8188/udp/239.93.1.13:2226
CCTV6,http://175.15.56.109:4022/udp/239.76.253.156:9000
CCTV6,http://175.15.56.109:4022/udp/239.76.246.156:1234
CCTV6,http://106.116.243.22:9999/rtp/239.254.201.154:7207
CCTV6,http://111.226.232.90:10010/rtp/239.254.201.154:7207
CCTV6,http://115.171.216.80:4000/rtp/225.1.8.84:8000
CCTV6,http://114.241.214.121:4022/rtp/239.3.1.174:8001
CCTV6,http://121.29.141.59:4022/rtp/239.253.92.193:6058
CCTV6,http://117.174.25.254:8188/rtp/239.0.0.15:5140
CCTV7,http://116.234.101.217:4022/rtp/239.45.3.56:5140
CCTV7,http://114.100.195.67:4022/rtp/238.1.78.239:7784
CCTV7,http://171.113.216.147:4022/rtp/239.69.1.103:10256
CCTV7,http://171.213.148.5:8188/udp/239.93.1.67:5140
CCTV7,http://175.15.56.109:4022/udp/239.76.253.157:9000
CCTV7,http://175.15.56.109:4022/udp/239.76.246.157:1234
CCTV7,http://106.116.243.22:9999/rtp/239.254.200.159:6000
CCTV7,http://111.226.232.90:10010/rtp/239.254.200.159:6000
CCTV7,http://115.171.216.80:4000/rtp/225.1.8.7:8104
CCTV7,http://114.241.214.121:4022/rtp/239.3.1.61:8104
CCTV7,http://121.29.141.59:4022/rtp/239.253.92.194:6059
CCTV7,http://117.174.25.254:8188/rtp/239.0.0.16:5140
CCTV8,http://116.234.101.217:4022/rtp/239.45.1.71:5140
CCTV8,http://114.100.195.67:4022/rtp/238.1.78.173:7256
CCTV8,http://171.113.216.147:4022/rtp/239.69.1.125:10388
CCTV8,http://171.213.148.5:8188/udp/239.93.42.39:5140
CCTV8,http://175.15.56.109:4022/udp/239.76.253.158:9000
CCTV8,http://175.15.56.109:4022/udp/239.76.246.158:1234
CCTV8,http://106.116.243.22:9999/rtp/239.254.201.155:7208
CCTV8,http://111.226.232.90:10010/rtp/239.254.201.155:7208
CCTV8,http://115.171.216.80:4000/rtp/225.1.8.85:8000
CCTV8,http://114.241.214.121:4022/rtp/239.3.1.175:8001
CCTV8,http://121.29.141.59:4022/rtp/239.253.92.195:6060
