更新时间: 2025-11-01 11:31:03（北京时间）

更新时间,#genre#
2025-11-01 11:31:03,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV3,http://223.198.241.248:4000/rtp/239.253.64.244:5140$海南电信11
CCTV3,http://171.104.106.97:50112/udp/239.81.0.231:4056$广西电信11
CCTV3,http://114.100.195.213:4022/rtp/238.1.78.170:7232$安徽电信11
CCTV3,http://171.213.217.15:8800/udp/239.93.1.11:2223$四川电信11
CCTV3,http://106.59.2.58:55555/udp/239.200.200.18:9008$云南电信11
CCTV3,http://111.113.88.237:2000/rtp/239.121.4.151:8890$宁夏电信11
CCTV3,http://1.58.246.172:4001/rtp/229.58.190.24:5000$黑龙江联通11
CCTV3,http://121.29.141.15:4022/rtp/239.253.92.191:6057$河北联通11
CCTV3,http://36.46.98.129:8025/rtp/239.112.205.221:5140$陕西电信11
CCTV3,http://202.107.163.105:5555/udp/238.125.5.21:5140$新疆电信11
CCTV3,http://27.184.65.71:58888/rtp/239.254.201.152:7205$河北电信11
CCTV3,http://171.113.210.116:4022/rtp/239.69.1.122:10370$湖北电信11
CCTV3,http://116.21.205.101:8188/udp/239.77.0.169:5146$广东电信21
CCTV3,http://223.167.245.20:8001/rtp/239.45.1.68:5140$上海电信21
CCTV3,http://112.66.90.123:8188/rtp/239.253.64.244:5140$海南电信21
CCTV3,http://58.46.29.23:8188/udp/239.76.253.153:9000$湖南电信21
CCTV3,http://61.159.135.223:18000/rtp/238.255.2.133:5999$贵州电信21
CCTV3,http://36.46.98.81:8025/rtp/239.112.205.221:5140$陕西电信21
CCTV3,http://171.213.240.211:8188/udp/239.93.1.11:2223$四川电信21
CCTV3,http://59.173.120.39:4022/rtp/239.69.1.122:10370$湖北电信21
CCTV3,http://183.162.105.167:8888/rtp/238.1.78.170:7232$安徽电信21
CCTV3,http://60.163.19.174:8188/udp/233.50.201.196:5140$浙江电信21
CCTV3,http://144.255.32.94:8288/udp/239.21.2.45:5002$山东电信21
CCTV3,http://222.82.206.180:8188/udp/238.125.5.21:5140$新疆电信21
CCTV3,http://1.58.246.172:4000/rtp/229.58.190.24:5000$黑龙江联通21
CCTV3,http://58.46.29.23:8188/udp/239.76.246.153:1234$湖南电信22
CCTV3,http://183.236.43.98:4013/udp/239.77.0.169:5146$广东电信31
CCTV3,http://112.66.80.239:8188/rtp/239.253.64.244:5140$海南电信31
CCTV3,http://180.165.18.51:9898/rtp/239.45.1.68:5140$上海电信31
CCTV3,http://1.58.246.183:4000/rtp/229.58.190.24:5000$黑龙江联通31
CCTV3,http://144.255.18.234:6688/udp/239.21.2.45:5002$山东电信31
CCTV4,http://115.58.216.210:4000/rtp/225.1.5.30:1333$河南联通11
CCTV4,http://223.198.241.248:4000/rtp/239.253.64.196:5140$海南电信11
CCTV4,http://171.104.106.97:50112/udp/239.81.0.96:4056$广西电信11
CCTV4,http://114.100.195.213:4022/rtp/238.1.78.236:7760$安徽电信11
CCTV4,http://171.213.217.15:8800/udp/239.93.1.105:5140$四川电信11
CCTV4,http://106.59.2.58:55555/udp/239.200.200.128:8652$云南电信11
CCTV4,http://111.113.88.237:2000/rtp/239.121.4.134:8786$宁夏电信11
CCTV4,http://1.58.246.172:4001/rtp/229.58.190.131:5000$黑龙江联通11
CCTV4,http://121.29.141.15:4022/rtp/239.253.92.251:6141$河北联通11
CCTV4,http://36.46.98.129:8025/rtp/239.112.205.202:5140$陕西电信11
CCTV4,http://202.107.163.105:5555/udp/238.125.1.67:5140$新疆电信11
CCTV4,http://27.184.65.71:58888/rtp/239.254.200.190:6307$河北电信11
CCTV4,http://171.113.210.116:4022/rtp/239.69.1.138:10466$湖北电信11
CCTV4,http://171.113.210.116:4022/rtp/239.69.1.231:11028$湖北电信12
CCTV4,http://171.113.210.116:4022/rtp/239.69.1.232:11034$湖北电信13
CCTV4,http://116.21.205.101:8188/udp/239.77.1.163:5146$广东电信21
CCTV4,http://223.167.245.20:8001/rtp/239.45.0.2:5140$上海电信21
CCTV4,http://112.66.90.123:8188/rtp/239.253.64.196:5140$海南电信21
CCTV4,http://58.46.29.23:8188/udp/239.76.253.154:9000$湖南电信21
CCTV4,http://61.159.135.223:18000/rtp/238.255.2.92:5999$贵州电信21
CCTV4,http://36.46.98.81:8025/rtp/239.112.205.202:5140$陕西电信21
CCTV4,http://171.213.240.211:8188/udp/239.93.1.105:5140$四川电信21
CCTV4,http://59.173.120.39:4022/rtp/239.69.1.138:10466$湖北电信21
CCTV4,http://183.162.105.167:8888/rtp/238.1.78.236:7760$安徽电信21
CCTV4,http://60.163.19.174:8188/udp/233.50.200.101:5140$浙江电信21
CCTV4,http://144.255.32.94:8288/udp/239.21.1.154:5002$山东电信21
CCTV4,http://222.82.206.180:8188/udp/238.125.1.67:5140$新疆电信21
CCTV4,http://1.58.246.172:4000/rtp/229.58.190.131:5000$黑龙江联通21
CCTV4,http://58.46.29.23:8188/udp/239.76.253.95:9000$湖南电信22
CCTV4,http://59.173.120.39:4022/rtp/239.69.1.231:11028$湖北电信22
CCTV4,http://144.255.32.94:8288/udp/239.21.2.29:5002$山东电信22
CCTV4,http://58.46.29.23:8188/udp/239.76.253.96:9000$湖南电信23
CCTV4,http://59.173.120.39:4022/rtp/239.69.1.232:11034$湖北电信23
CCTV4,http://58.46.29.23:8188/udp/239.76.246.154:1234$湖南电信24
CCTV4,http://58.46.29.23:8188/udp/239.76.245.195:1234$湖南电信25
CCTV4,http://58.46.29.23:8188/udp/239.76.246.95:1234$湖南电信26
CCTV4,http://58.46.29.23:8188/udp/239.76.246.96:1234$湖南电信27
CCTV4,http://183.236.43.98:4013/udp/239.77.1.163:5146$广东电信31
CCTV4,http://112.66.80.239:8188/rtp/239.253.64.196:5140$海南电信31
CCTV4,http://180.165.18.51:9898/rtp/239.45.0.2:5140$上海电信31
CCTV4,http://1.58.246.183:4000/rtp/229.58.190.131:5000$黑龙江联通31
CCTV4,http://144.255.18.234:6688/udp/239.21.1.154:5002$山东电信31
CCTV4,http://144.255.18.234:6688/udp/239.21.2.29:5002$山东电信32
CCTV4欧洲,http://115.58.216.210:4000/rtp/225.1.5.31:1342$河南联通11
CCTV4欧洲,http://106.59.2.58:55555/rtp/239.200.201.180:4220$云南电信11
CCTV4欧洲,http://111.113.88.237:2000/rtp/239.121.4.123:8000$宁夏电信11
CCTV4欧洲,http://121.29.141.15:4022/rtp/239.253.93.192:6370$河北联通11
CCTV4欧洲,http://27.184.65.71:58888/rtp/239.254.201.205:4220$河北电信11
CCTV4欧洲,http://61.159.135.223:18000/rtp/238.255.2.213:5999$贵州电信21
CCTV4欧洲,http://144.255.32.94:8288/udp/239.21.2.28:5002$山东电信21
CCTV4欧洲,http://144.255.18.234:6688/udp/239.21.2.28:5002$山东电信31
CCTV4美洲,http://115.58.216.210:4000/rtp/225.1.5.32:1343$河南联通11
CCTV4美洲,http://106.59.2.58:55555/rtp/239.200.201.181:4220$云南电信11
CCTV4美洲,http://111.113.88.237:2000/rtp/239.121.4.124:8002$宁夏电信11
CCTV4美洲,http://121.29.141.15:4022/rtp/239.253.93.193:6371$河北联通11
CCTV4美洲,http://27.184.65.71:58888/rtp/239.254.201.206:4220$河北电信11
CCTV4美洲,http://61.159.135.223:18000/rtp/238.255.2.214:5999$贵州电信21
CCTV5,http://115.58.216.210:4000/rtp/225.1.4.159:1195$河南联通11
CCTV5,http://223.198.241.248:4000/rtp/239.253.64.245:5140$海南电信11
CCTV5,http://171.104.106.97:50112/udp/239.81.0.232:4056$广西电信11
CCTV5,http://114.100.195.213:4022/rtp/238.1.78.171:7240$安徽电信11
CCTV5,http://171.213.217.15:8800/udp/239.93.42.37:5140$四川电信11
CCTV5,http://106.59.2.58:55555/udp/239.200.200.20:9016$云南电信11
CCTV5,http://111.113.88.237:2000/rtp/239.121.4.152:8896$宁夏电信11
