更新时间: 2025-01-05 15:43:52
央视频道,#genre#
河北卫视,http://221.222.162.206:8888/udp/239.3.1.148:8072$线路2#http://114.240.44.242:8888/udp/239.3.1.148:8072$线路1#http://1.203.111.193:17777/udp/225.1.8.150:8292$线路3
河南卫视,http://221.222.162.206:8888/udp/239.3.1.27:8128$线路2#http://114.240.44.242:8888/udp/239.3.1.27:8128$线路1#http://1.203.111.193:17777/udp/225.1.8.140:8128$线路3
湖北卫视,http://221.222.162.206:8888/udp/239.3.1.138:8044$线路2#http://114.240.44.242:8888/udp/239.3.1.138:8044$线路1#http://1.203.111.193:17777/udp/225.1.8.146:8136$线路3
江西卫视,http://221.222.162.206:8888/udp/239.3.1.123:8164$线路2#http://114.240.44.242:8888/udp/239.3.1.123:8164$线路1#http://1.203.111.193:17777/udp/225.1.1.9:8164$线路3
四川卫视,http://221.222.162.206:8888/udp/239.3.1.29:8288$线路2#http://114.240.44.242:8888/udp/239.3.1.29:8288$线路1#http://1.203.111.193:17777/udp/225.1.8.142:8288$线路3
重庆卫视,http://221.222.162.206:8888/udp/239.3.1.122:8160$线路2#http://114.240.44.242:8888/udp/239.3.1.122:8160$线路1#http://1.203.111.193:17777/udp/225.1.8.148:8296$线路3
贵州卫视,http://221.222.162.206:8888/udp/239.3.1.149:8076$线路2#http://114.240.44.242:8888/udp/239.3.1.149:8076$线路1#http://1.203.111.193:17777/udp/225.1.8.144:8120$线路3
云南卫视,http://221.222.162.206:8888/udp/239.3.1.26:8108$线路2#http://114.240.44.242:8888/udp/239.3.1.26:8108$线路1#http://1.203.111.193:17777/udp/225.1.8.139:8108$线路3
天津卫视,http://221.222.162.206:8888/udp/239.3.1.141:1234$线路2#http://114.240.44.242:8888/udp/239.3.1.141:1234$线路1#http://1.203.111.193:17777/udp/225.1.8.136:8144$线路3
安徽卫视,http://221.222.162.206:8888/udp/239.3.1.211:8064$线路2#http://114.240.44.242:8888/udp/239.3.1.211:8064$线路1#http://1.203.111.193:17777/udp/225.1.8.135:8272$线路3
山东卫视,http://221.222.162.206:8888/udp/239.3.1.209:8052$线路2#http://114.240.44.242:8888/udp/239.3.1.209:8052$线路1#http://1.203.111.193:17777/udp/225.1.8.138:8148$线路3
辽宁卫视,http://221.222.162.206:8888/udp/239.3.1.210:8056$线路2#http://114.240.44.242:8888/udp/239.3.1.210:8056$线路1#http://1.203.111.193:17777/udp/225.1.8.137:8116$线路3
黑龙江卫视,http://221.222.162.206:8888/udp/239.3.1.133:8016$线路2#http://114.240.44.242:8888/udp/239.3.1.133:8016$线路1#http://1.203.111.193:17777/udp/225.1.8.141:8196$线路3
吉林卫视,http://221.222.162.206:8888/udp/239.3.1.240:8172$线路2#http://114.240.44.242:8888/udp/239.3.1.240:8172$线路1#http://1.203.111.193:17777/udp/225.1.8.153:8200$线路3
宁夏卫视,http://221.222.162.206:8888/udp/239.3.1.46:8124$线路2#http://114.240.44.242:8888/udp/239.3.1.46:8124$线路1#http://1.203.111.193:17777/udp/225.1.8.159:8124$线路3
山西卫视,http://221.222.162.206:8888/udp/239.3.1.42:8172$线路2#http://114.240.44.242:8888/udp/239.3.1.42:8172$线路1#http://1.203.111.193:17777/udp/225.1.8.155:8172$线路3
陕西卫视,http://221.222.162.206:8888/udp/239.3.1.41:8140$线路2#http://114.240.44.242:8888/udp/239.3.1.41:8140$线路1#http://1.203.111.193:17777/udp/225.1.8.154:8140$线路3
甘肃卫视,http://221.222.162.206:8888/udp/239.3.1.49:8188$线路2#http://114.240.44.242:8888/udp/239.3.1.49:8188$线路1#http://1.203.111.193:17777/udp/225.1.8.162:8188$线路3
青海卫视,http://221.222.162.206:8888/udp/239.3.1.44:8184$线路2#http://114.240.44.242:8888/udp/239.3.1.44:8184$线路1#http://1.203.111.193:17777/udp/225.1.8.157:8184$线路3
西藏卫视,http://221.222.162.206:8888/udp/239.3.1.47:8164$线路2#http://114.240.44.242:8888/udp/239.3.1.47:8164$线路1#http://1.203.111.193:17777/udp/225.1.8.160:8164$线路3
内蒙古卫视,http://221.222.162.206:8888/udp/239.3.1.43:8176$线路2#http://114.240.44.242:8888/udp/239.3.1.43:8176$线路1#http://1.203.111.193:17777/udp/225.1.8.156:8176$线路3
三沙卫视,http://221.222.162.206:8888/udp/239.3.1.155:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.155:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.78:4120$线路3
兵团卫视,http://114.240.44.242:8888/udp/239.3.1.48:8160$线路2#http://114.240.44.242:8888/udp/239.3.1.144:4120$线路1#http://221.222.162.206:8888/udp/239.3.1.144:4120$线路3#http://221.222.162.206:8888/udp/239.3.1.48:8160$线路4#http://1.203.111.193:17777/udp/225.1.8.161:8160$线路5#http://1.203.111.193:17777/udp/225.1.8.167:4120$线路6
数字频道,#genre#
淘电影,http://221.222.162.206:8888/udp/239.3.1.250:8001$线路2#http://114.240.44.242:8888/udp/239.3.1.250:8001$线路1#http://1.203.111.193:17777/udp/225.1.8.38:8002$线路3
淘剧场,http://221.222.162.206:8888/udp/239.3.1.95:8001$线路2#http://114.240.44.242:8888/udp/239.3.1.95:8001$线路1#http://1.203.111.193:17777/udp/225.1.8.37:8002$线路3
淘娱乐,http://221.222.162.206:8888/udp/239.3.1.100:8001$线路2#http://114.240.44.242:8888/udp/239.3.1.100:8001$线路1#http://1.203.111.193:17777/udp/225.1.8.61:8002$线路3
淘BABY,http://1.203.111.193:17777/udp/225.1.8.36:8002$线路1
纪实人文,http://1.203.111.193:17777/udp/225.1.8.53:8060$线路1
星影,http://221.222.162.206:8888/udp/239.3.1.94:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.94:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.254:4120$线路3
光影,http://221.222.162.206:8888/udp/239.3.1.84:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.84:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.244:4120$线路3
